mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002213907241821289,0.0007138113282965204,0.007565689086914062,0.0014885513359967181,manhattan,31,"{'metric': 'manhattan', 'n_neighbors': 31}",0.3215063482586822,0.25384305924998185,0.2663017675415227,0.25306532461917164,0.27257097334960934,0.27345749460379354,0.025144579368934824,15
0.0026924610137939453,0.0011088721240360899,0.009556007385253907,0.0010167846889997901,manhattan,33,"{'metric': 'manhattan', 'n_neighbors': 33}",0.3102597330847753,0.25269184794821353,0.26218308922507216,0.24860199072248568,0.26991850100266046,0.26873103239664137,0.022051541346597887,19
0.0028012752532958984,0.0012773161536940823,0.007036590576171875,0.0010293969207719052,manhattan,35,"{'metric': 'manhattan', 'n_neighbors': 35}",0.3150861626108541,0.25421827799472985,0.2630311450977296,0.2581089210927241,0.27041297902920614,0.27217149716504874,0.02212862877198429,16
0.001836252212524414,0.000677820546828637,0.0071979999542236325,0.0014635572350197288,manhattan,37,"{'metric': 'manhattan', 'n_neighbors': 37}",0.2982789197420227,0.2521082689008334,0.25665684749489226,0.2712662670933461,0.269707290036892,0.26960351865359733,0.016116787437074283,18
0.0013965606689453126,0.0004716333779940424,0.006500816345214844,0.00041398093647053235,manhattan,39,"{'metric': 'manhattan', 'n_neighbors': 39}",0.2880626776122063,0.2500035162395451,0.2440331369749532,0.2761735630297568,0.2566815479742458,0.2629908883661415,0.016554476591130365,26
0.0013733386993408203,0.0005478706515443517,0.006892108917236328,0.0012913971826253284,manhattan,41,"{'metric': 'manhattan', 'n_neighbors': 41}",0.2776563070490058,0.25326140777914086,0.2429856874401619,0.2828396526915462,0.25223016225380956,0.26179464344273284,0.015572777683197807,27
0.0019205570220947265,0.0004869512936113679,0.006277799606323242,0.0007941587089653617,manhattan,43,"{'metric': 'manhattan', 'n_neighbors': 43}",0.2641130535828311,0.24826956004046086,0.25208794846899585,0.27233274664587426,0.24756767945388325,0.2568741976384091,0.00974604558601015,31
0.0018526077270507812,0.0004427040151484155,0.006010198593139648,0.0009335178260342324,manhattan,45,"{'metric': 'manhattan', 'n_neighbors': 45}",0.2548769950973434,0.24782571227754946,0.24710840695161584,0.26985207721446924,0.2565845678156451,0.2552495518713246,0.008204223880860565,33
0.001617574691772461,0.0007812776044955031,0.006760501861572265,0.000744161556275818,manhattan,47,"{'metric': 'manhattan', 'n_neighbors': 47}",0.254994057018915,0.23572933240656024,0.23549573981369387,0.2650806453987724,0.2558562474973648,0.2494312044270613,0.011824296858567312,39
0.0023748397827148436,0.0008439864599056971,0.008000421524047851,0.0022138331679878525,manhattan,49,"{'metric': 'manhattan', 'n_neighbors': 49}",0.255589004369264,0.233986835881971,0.24054812206039322,0.25514445255967344,0.2520083867118146,0.24745536031662327,0.00866163316272,41
